Movie,Re-Watch Desire,Wins,Losses,Ties,IMDb Rating,Box Office (In Millions),MPAA Numeric,Award Winner,Foreign Film,Runtime (min),Predominate Language is English,Budget (In Millions),Genre,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War
Mulan,3.3,16,33,0,7.7,304,1,0,0,88,1,90,"Animation, Adventure, Comedy, Family, Fantasy, Musical, War",0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1
Your Name,2.9,14,35,0,8.4,380,2,0,1,106,0,5,"Animation, Drama, Fantasy, Romance",0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Logan,2.7,13,36,0,8.1,619,4,0,0,137,1,97,"Action, Drama, Sci-Fi, Thriller",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
Straight Outta Compton,2.3,11,38,0,7.8,201,4,0,0,147,1,28,"Biography, Drama, History, Music",0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0
La La Land,2.3,11,38,0,8,448,3,1,0,128,1,30,"Comedy, Drama, Music, Musical, Romance",0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0
The Pursuit of Happyness,2.1,10,39,0,8,307,3,0,0,117,1,55,"Biography, Drama",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Moana,1.9,9,40,0,7.6,645,2,0,0,107,1,150,"Animation, Adventure, Comedy, Family, Fantasy, Musical",0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
Vice,1.7,8,41,0,7.2,77,4,1,0,132,1,60,"Biography, Comedy, Drama, History",0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Lilo & Stitch,1.7,8,41,0,7.3,273,2,0,0,85,1,80,"Action, Adventure, Comedy, Drama, Family, Fantasy, Sci-Fi",1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0
Past Lives,1.5,7,42,0,7.8,22,3,0,1,106,0,10,"Drama, Romance",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
The Wolf of Wall Street,1.1,5,44,0,8.2,406,4,0,0,180,1,100,"Biography, Comedy, Crime, Drama",0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"Monsters, Inc.",0.9,4,45,0,8.1,577,1,0,0,92,1,115,"Animation, Adventure, Comedy, Family, Fantasy",0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
The Whale,0.5,2,47,0,7.6,55,4,1,0,117,1,3,Drama,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kung Fu Panda,0.3,1,48,0,7.6,631,2,0,0,92,1,130,"Animation, Action, Adventure, Comedy, Family, Fantasy",1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
The Lego Movie,0.3,1,48,0,7.7,468,2,0,0,100,1,60,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
