Comparison
The Dark Knight beat Fight Club
It's a Wonderful Life beat The Dark Knight
The Dark Knight beat Parasite
The Dark Knight beat The Lion King
Whiplash beat The Dark Knight
WALL.E beat The Dark Knight
The Dark Knight beat Coco
Good Will Hunting beat The Dark Knight
Joker beat The Dark Knight
It's a Wonderful Life beat Fight Club
Fight Club beat Parasite
Fight Club beat The Lion King
Whiplash beat Fight Club
Fight Club beat WALL.E
Fight Club beat Coco
Good Will Hunting beat Fight Club
Joker beat Fight Club
It's a Wonderful Life beat Parasite
It's a Wonderful Life beat The Lion King
It's a Wonderful Life beat Whiplash
It's a Wonderful Life beat WALL.E
It's a Wonderful Life beat Coco
It's a Wonderful Life beat Good Will Hunting
It's a Wonderful Life beat Joker
Parasite beat The Lion King
Whiplash beat Parasite
Parasite beat WALL.E
Parasite beat Coco
Good Will Hunting beat Parasite
Joker beat Parasite
Whiplash beat The Lion King
WALL.E beat The Lion King
Coco beat The Lion King
Good Will Hunting beat The Lion King
Joker beat The Lion King
Whiplash beat WALL.E
Whiplash beat Coco
Good Will Hunting beat Whiplash
Joker beat Whiplash
WALL.E beat Coco
Good Will Hunting beat WALL.E
Joker beat WALL.E
Good Will Hunting beat Coco
Joker beat Coco
Good Will Hunting beat Joker
Eternal Sunshine of the Spotless Mind beat Your Name
Up beat Your Name
Your Name beat The Wolf of Wall Street
Inside Out beat Your Name
Eternal Sunshine of the Spotless Mind beat Up
Eternal Sunshine of the Spotless Mind beat The Wolf of Wall Street
Eternal Sunshine of the Spotless Mind beat Inside Out
Up beat The Wolf of Wall Street
Inside Out beat Up
Inside Out beat The Wolf of Wall Street
The Dark Knight beat Your Name
Eternal Sunshine of the Spotless Mind beat The Dark Knight
The Dark Knight beat Up
The Dark Knight beat The Wolf of Wall Street
Inside Out beat The Dark Knight
Fight Club beat Your Name
Eternal Sunshine of the Spotless Mind beat Fight Club
Fight Club beat Up
Fight Club beat The Wolf of Wall Street
Inside Out beat Fight Club
It's a Wonderful Life beat Your Name
It's a Wonderful Life beat Eternal Sunshine of the Spotless Mind
It's a Wonderful Life beat Up
It's a Wonderful Life beat The Wolf of Wall Street
It's a Wonderful Life beat Inside Out
Parasite beat Your Name
Eternal Sunshine of the Spotless Mind beat Parasite
Parasite beat Up
Parasite beat The Wolf of Wall Street
Inside Out beat Parasite
The Lion King beat Your Name
Eternal Sunshine of the Spotless Mind beat The Lion King
The Lion King beat Up
The Lion King beat The Wolf of Wall Street
The Lion King beat Inside Out
Whiplash beat Your Name
Whiplash beat Eternal Sunshine of the Spotless Mind
Whiplash beat Up
Whiplash beat The Wolf of Wall Street
Whiplash beat Inside Out
WALL.E beat Your Name
Eternal Sunshine of the Spotless Mind beat WALL.E
WALL.E beat Up
WALL.E beat The Wolf of Wall Street
Inside Out beat WALL.E
Coco beat Your Name
Eternal Sunshine of the Spotless Mind beat Coco
Coco beat Up
Coco beat The Wolf of Wall Street
Inside Out beat Coco
Good Will Hunting beat Your Name
Good Will Hunting beat Eternal Sunshine of the Spotless Mind
Good Will Hunting beat Up
Good Will Hunting beat The Wolf of Wall Street
Good Will Hunting beat Inside Out
Joker beat Your Name
Eternal Sunshine of the Spotless Mind beat Joker
Joker beat Up
Joker beat The Wolf of Wall Street
Inside Out beat Joker
"Catch Me If You Can beat Monsters, Inc."
Catch Me If You Can beat Moana
Catch Me If You Can beat The Big Lebowski
Catch Me If You Can beat Logan
"Moana beat Monsters, Inc."
"The Big Lebowski beat Monsters, Inc."
"Logan beat Monsters, Inc."
The Big Lebowski beat Moana
Logan beat Moana
Logan beat The Big Lebowski
Catch Me If You Can beat The Dark Knight
"The Dark Knight beat Monsters, Inc."
The Dark Knight beat Moana
The Big Lebowski beat The Dark Knight
Logan beat The Dark Knight
Catch Me If You Can beat Fight Club
"Fight Club beat Monsters, Inc."
Fight Club beat Moana
Fight Club beat The Big Lebowski
Fight Club beat Logan
It's a Wonderful Life beat Catch Me If You Can
"It's a Wonderful Life beat Monsters, Inc."
It's a Wonderful Life beat Moana
It's a Wonderful Life beat The Big Lebowski
It's a Wonderful Life beat Logan
Catch Me If You Can beat Parasite
"Parasite beat Monsters, Inc."
Moana beat Parasite
The Big Lebowski beat Parasite
Logan beat Parasite
Catch Me If You Can beat The Lion King
"The Lion King beat Monsters, Inc."
The Lion King beat Moana
The Lion King beat The Big Lebowski
The Lion King beat Logan
Catch Me If You Can beat Whiplash
"Whiplash beat Monsters, Inc."
Whiplash beat Moana
Whiplash beat The Big Lebowski
Whiplash beat Logan
Catch Me If You Can beat WALL.E
"WALL.E beat Monsters, Inc."
WALL.E beat Moana
The Big Lebowski beat WALL.E
Logan beat WALL.E
Catch Me If You Can beat Coco
"Coco beat Monsters, Inc."
Coco beat Moana
Coco beat The Big Lebowski
Coco beat Logan
Good Will Hunting beat Catch Me If You Can
"Good Will Hunting beat Monsters, Inc."
Good Will Hunting beat Moana
Good Will Hunting beat The Big Lebowski
Good Will Hunting beat Logan
Catch Me If You Can beat Joker
"Joker beat Monsters, Inc."
Joker beat Moana
The Big Lebowski beat Joker
Logan beat Joker
Catch Me If You Can beat Your Name
"Monsters, Inc. beat Your Name"
Moana beat Your Name
The Big Lebowski beat Your Name
Logan beat Your Name
Catch Me If You Can beat Eternal Sunshine of the Spotless Mind
"Eternal Sunshine of the Spotless Mind beat Monsters, Inc."
Eternal Sunshine of the Spotless Mind beat Moana
Eternal Sunshine of the Spotless Mind beat The Big Lebowski
Eternal Sunshine of the Spotless Mind beat Logan
Catch Me If You Can beat Up
"Up beat Monsters, Inc."
Up beat Moana
Up beat The Big Lebowski
Up beat Logan
Catch Me If You Can beat The Wolf of Wall Street
"The Wolf of Wall Street beat Monsters, Inc."
The Wolf of Wall Street beat Moana
The Big Lebowski beat The Wolf of Wall Street
The Wolf of Wall Street beat Logan
Catch Me If You Can beat Inside Out
"Inside Out beat Monsters, Inc."
Inside Out beat Moana
Inside Out beat The Big Lebowski
Inside Out beat Logan
Office Space beat Kung Fu Panda
Moneyball beat Kung Fu Panda
Mulan beat Kung Fu Panda
Coraline beat Kung Fu Panda
Moneyball beat Office Space
Office Space beat Mulan
Coraline beat Office Space
Moneyball beat Mulan
Coraline beat Moneyball
Coraline beat Mulan
The Dark Knight beat Kung Fu Panda
The Dark Knight beat Office Space
